field,dict_canonical,occurrence_count,category
GAL_sample_id,GAL_sample_id,231745,Admin
country,geographic location,228444,Geography
lifestage,life stage,227787,Host
host_body_product,host body product,227187,Sample
ww_sample_duration,wastewater sample duration,225405,Time
ww_sample_matrix,wastewater sample matrix,225381,Sample
ww_sample_type,wastewater sample type,225381,Sample
ww_population,wastewater population,225376,Host
food_origin,food product origin geographic location,225259,Geography
ww_surv_target_1,wastewater surveillance target 1,225091,Diagnostic
ww_surv_target_1_known_present,wastewater surveillance target 1 known present,225078,Diagnostic
tmp,tmp,224194,Admin
env feature,local-scale environmental context,223015,Environment
timepoint,timepoint,222481,Time
env biome,broad-scale environmental context,222398,Environment
sample description,description,221967,Admin
serotype,serotype,219706,Sample
ploidy,ploidy,209070,Assembly
env package,environmental package,207799,Admin
sequence_type,sequence_type,207124,Sequencing
host_life_stage,host life stage,206243,Host
culture_collection,culture collection,206201,Admin
geo loc name,geographic location,205924,Geography
derived_from,derived from,205520,Sample
chip antibody,chip antibody,204801,Sequencing
purpose_of_ww_sampling,purpose of wastewater sampling,201832,Sequencing
specimen_id,specimen_id,201544,Admin
potential_contaminant,potential_contaminant,201410,Sequencing
target gene,target gene,200865,Sequencing
sample_id,sample_id,199686,Admin
host_genotype,host genotype,194417,Host
disease_stage,disease stage,193206,Host
