rank,residual_name,freq,cumulative_pct,type,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis),reason
31,scientific_name,8972534,48.962,freetext/high-card,Homo sapiens(44172) ; thuja plicata(4832) ; Gallus gallus(3590) ; homo sapiens(3588) ; Sus scrofa(3216) ; Aphis glycines(2841) ; Homo Sapien(2601) ; homo sapien(2306) ; Bos taurus(2282) ; Vigna unguiculata(1659) ; Arabidopsis thaliana(1593) ; Canis familiaris(1572) ; Triticum aestivum(1564) ; Anas platyrhynchos platyrhynchos(1210) ; Zea mays L.(982),scientific_name,,,独立键(仅自身),Sample,是,
32,tissue,8421374,49.951,,Blood(1331405) ; blood(526186) ; leaf(269937) ; BLOOD(232462) ; Saliva(198273) ; Peripheral Blood(164727) ; Leaf(141771) ; liver(114058) ; Peripheral blood(91731) ; peripheral blood(76698) ; brain(74519) ; UBERON:feces(54112) ; Stool(51927) ; Buffy Coat(50761) ; bone marrow(50062),tissue,Blood(1331405) ; blood(526186) ; leaf(269937) ; BLOOD(232462) ; Saliva(198273) ; Peripheral Blood(164727) ; Leaf(141771) ; liver(114058) ; Peripheral blood(91731) ; peripheral blood(76698) ; brain(74519) ; UBERON:feces(54112) ; Stool(51927) ; Buffy Coat(50761) ; bone marrow(50062),,规范键(其他并入它),Sample,是,
33,analyte type,8091083,50.9012,,DNA(4434748) ; RNA(253545) ; DNA/RNA(34973) ; RNA:Total RNA(20228) ; DNA FROM FFPE(17152) ; DNA FROM BLOOD(17152) ; Repli-G (Qiagen) DNA(13730) ; metabolite(12099) ; Genomic DNA(9523) ; genomic DNA(8221) ; G_DNA_Stool(5417) ; G_DNA_Saliva(4077) ; primary_g_Stool(4072) ; whole-genome amplified DNA(3932) ; bulk RNAseq(3571),analyte type,DNA(4434748) ; RNA(253545) ; DNA/RNA(34973) ; RNA:Total RNA(20228) ; DNA FROM FFPE(17152) ; DNA FROM BLOOD(17152) ; Repli-G (Qiagen) DNA(13730) ; metabolite(12099) ; Genomic DNA(9523) ; genomic DNA(8221) ; G_DNA_Stool(5417) ; G_DNA_Saliva(4077) ; primary_g_Stool(4072) ; whole-genome amplified DNA(3932) ; bulk RNAseq(3571),,规范键(其他并入它),Sample,是,
34,collected_by,8082296,51.8504,,CDC(226204) ; PHE(95799) ; USDA-FSIS(66980) ; FDA(18190) ; FDA Contracted Laboratory(12444) ; PHAC(10929) ; United States Food and Drug Administration(10474) ; ModMedMicOxford(9802) ; Texas Department of State Health Services(7497) ; University of Pittsburgh Medical Center(5284) ; DTU(4963) ; United States Food and Drug Administration| Office of Regulatory Affairs| New York Human and Animal Food Laboratory(4848) ; USAID Feed the Future Innovation Lab for Climate Resilient Chickpea(4630) ; Pennsylvania State University | Escherichia coli Reference Center(4407) ; university laval(4033),collected by,CDC(226204) ; PHE(95799) ; USDA-FSIS(66980) ; FDA(18190) ; FDA Contracted Laboratory(12444) ; PHAC(10929) ; United States Food and Drug Administration(10474) ; ModMedMicOxford(9802) ; Texas Department of State Health Services(7497) ; University of Pittsburgh Medical Center(5284) ; DTU(4963) ; United States Food and Drug Administration| Office of Regulatory Affairs| New York Human and Animal Food Laboratory(4848) ; USAID Feed the Future Innovation Lab for Climate Resilient Chickpea(4630) ; Pennsylvania State University | Escherichia coli Reference Center(4407) ; university laval(4033),,规范键(其他并入它),Admin,否,
35,strain,7444330,52.7246,,C57BL/6(284016) ; C57BL/6J(245290) ; CD1(24176) ; Sprague-Dawley(15303) ; C57BL/6N(14922) ; w1118(14697) ; BALB/c(14549) ; BY4741(13753) ; B6(11316) ; C57BL6(11080) ; K-12(8586) ; 129/Ola(6665) ; mixed(6548) ; ICR(5551) ; C57Bl6/J(4716),strain,C57BL/6(284016) ; C57BL/6J(245290) ; CD1(24176) ; Sprague-Dawley(15303) ; C57BL/6N(14922) ; w1118(14697) ; BALB/c(14549) ; BY4741(13753) ; B6(11316) ; C57BL6(11080) ; K-12(8586) ; 129/Ola(6665) ; mixed(6548) ; ICR(5551) ; C57Bl6/J(4716),,规范键(其他并入它),Sample,是,
36,INSDC center alias,6865361,53.5309,freetext/high-card,"SC(619507) ; Robert Koch Institute(121176) ; UCSDMI(111896) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(31986) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(27082) ; ETH ZURICH D-BSSE(26260) ; NVRL(19032) ; IBV-CSIC(18790) ; Wellcome Sanger Institute(15187) ; IPK-Gatersleben(14814) ; Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust(14468) ; CCME-COLORADO(13462) ; BCM(13364) ; Quadram Institute Bioscience(12858) ; Liverpool Clinical Laboratories(12495)",INSDC center alias,,,独立键(仅自身),Admin,否,
37,body site,6846076,54.3349,,Blood(1331405) ; blood(526186) ; leaf(269937) ; BLOOD(232462) ; Saliva(198273) ; Peripheral Blood(164727) ; Leaf(141771) ; liver(114058) ; Peripheral blood(91731) ; peripheral blood(76698) ; brain(74519) ; UBERON:feces(54112) ; Stool(51927) ; Buffy Coat(50761) ; bone marrow(50062),tissue,Blood(1331405) ; blood(526186) ; leaf(269937) ; BLOOD(232462) ; Saliva(198273) ; Peripheral Blood(164727) ; Leaf(141771) ; liver(114058) ; Peripheral blood(91731) ; peripheral blood(76698) ; brain(74519) ; UBERON:feces(54112) ; Stool(51927) ; Buffy Coat(50761) ; bone marrow(50062),,合并→ tissue,Sample,是,
38,host_disease,6268850,55.071,,COVID-19(295321) ; Tuberculosis(27996) ; invasive disease(23259) ; severe accute respiratory syndrome(13278) ; Gonorrhea(10898) ; Gastroenteritis(10435) ; gonorrhea(7997) ; tuberculosis(7572) ; diarrhea(5814) ; severe acute respiratory syndrome(5596) ; healthy(4476) ; Clostridium difficile infection(4464) ; Bacteremia(3785) ; Healthy(3765) ; salmonellosis(3644),host disease,COVID-19(295321) ; Tuberculosis(27996) ; invasive disease(23259) ; severe accute respiratory syndrome(13278) ; Gonorrhea(10898) ; Gastroenteritis(10435) ; gonorrhea(7997) ; tuberculosis(7572) ; diarrhea(5814) ; severe acute respiratory syndrome(5596) ; healthy(4476) ; Clostridium difficile infection(4464) ; Bacteremia(3785) ; Healthy(3765) ; salmonellosis(3644),,规范键(其他并入它),Host,是,
39,age,5992413,55.7748,,P56(137733) ; 6(38471) ; adult(37267) ; 5(21722) ; 4 months(20955) ; 3(19750) ; 9 months(18360) ; Adult(15772) ; 1(15772) ; 8 weeks(15083) ; 21(13199) ; 8(12534) ; 40(11545) ; 59(11498) ; 53(11248),age,P56(137733) ; 6(38471) ; adult(37267) ; 5(21722) ; 4 months(20955) ; 3(19750) ; 9 months(18360) ; Adult(15772) ; 1(15772) ; 8 weeks(15083) ; 21(13199) ; 8(12534) ; 40(11545) ; 59(11498) ; 53(11248),,独立键(仅自身),Host,是,
40,host scientific name,5980641,56.4771,,Homo sapiens(2628029) ; Mus musculus(128480) ; Bos taurus(38078) ; Sus scrofa(34159) ; Gallus gallus(23804) ; soil(19294) ; Canis lupus familiaris(16499) ; Bovine(15561) ; Arabidopsis thaliana(14964) ; Papio cynocephalus(14851) ; mouse(14192) ; Zea mays(12248) ; Sus scrofa domesticus(11825) ; Gallus gallus domesticus(11180) ; pig(10974),host,Homo sapiens(2628029) ; Mus musculus(128480) ; Bos taurus(38078) ; Sus scrofa(34159) ; Gallus gallus(23804) ; soil(19294) ; Canis lupus familiaris(16499) ; Bovine(15561) ; Arabidopsis thaliana(14964) ; Papio cynocephalus(14851) ; mouse(14192) ; Zea mays(12248) ; Sus scrofa domesticus(11825) ; Gallus gallus domesticus(11180) ; pig(10974),,合并→ host,Host,是,
